'Air Quality Statistics by City,2021'
'Note: The values shown are the highest among the sites in each area. Data from exceptional events are included.  This summary is not adequate in itself to numerically rank CBSAs according to their air quality.  The monitoring data represent the quality of air in the vicinity of the monitoring site and,for some pollutants,may not necessarily represent urban-wide air quality.  Based on data from AQS as of May 4,2022.'
Core Based Statistical Area (CBSA),2010 Population,CBSA Code,CO           8-hr (ppm),Pb          3-mo (µg/m3),NO2      AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10         24-hr (µg/m3) ,PM2.5         Wtd AM (µg/m3) ,PM2.5         24-hr (µg/m3) ,SO2         1-hr (ppb)
'Aberdeen,SD',40602.00,10100.00,ND,ND,ND,ND,ND,89.00,6.70,30.00,ND
'Aberdeen,WA',72797.00,10140.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Adjuntas,PR',19483.00,10260.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Adrian,MI',99892.00,10300.00,ND,ND,ND,ND,0.07,ND,IN,IN,ND
'Aguadilla-Isabela,PR',339441.00,10380.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Akron,OH',703200.00,10420.00,ND,ND,ND,ND,0.07,ND,8.70,23.00,5.00
'Albany,GA',157308.00,10500.00,ND,ND,ND,ND,ND,ND,10.10,30.00,ND
'Albany,OR',116672.00,10540.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Albany-Schenectady-Troy,NY',870716.00,10580.00,ND,ND,ND,ND,0.06,ND,7.50,18.00,2.00
'Albert Lea,MN',31255.00,10660.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Albuquerque,NM',887077.00,10740.00,1.00,ND,8.00,44.00,0.08,221.00,11.30,28.00,3.00
'Alexandria,LA',153922.00,10780.00,ND,ND,ND,ND,ND,ND,7.30,15.00,ND
'Alexandria,MN',36009.00,10820.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Allentown-Bethlehem-Easton,PA-NJ',821173.00,10900.00,ND,0.06,10.00,42.00,0.07,44.00,9.90,27.00,6.00
'Alpena,MI',29598.00,10980.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Altoona,PA',127089.00,11020.00,ND,ND,ND,ND,0.06,ND,8.80,21.00,4.00
'Amarillo,TX',251933.00,11100.00,ND,ND,ND,ND,0.07,ND,6.20,15.00,124.00
'Americus,GA',37829.00,11140.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
'Ames,IA',89542.00,11180.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Anchorage,AK',380821.00,11260.00,2.00,ND,ND,ND,ND,97.00,6.00,21.00,ND
'Ann Arbor,MI',344791.00,11460.00,ND,ND,ND,ND,0.07,ND,8.80,18.00,ND
'Appleton,WI',225666.00,11540.00,ND,ND,ND,ND,0.06,ND,9.00,28.00,74.00
'Ardmore,OK',47557.00,11620.00,ND,ND,ND,ND,0.07,ND,IN,IN,ND
'Arecibo,PR',199471.00,11640.00,ND,IN,ND,ND,ND,ND,ND,ND,ND
'Arkadelphia,AR',22995.00,11660.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
'Asheville,NC',424858.00,11700.00,ND,ND,ND,ND,0.06,ND,6.70,19.00,52.00
'Ashtabula,OH',101497.00,11780.00,ND,ND,ND,ND,0.07,ND,ND,ND,8.00
'Athens,OH',64757.00,11900.00,ND,ND,ND,ND,ND,ND,6.20,17.00,ND
'Athens,TN',52266.00,11940.00,ND,ND,ND,ND,ND,ND,7.60,20.00,ND
'Athens-Clarke County,GA',192541.00,12020.00,ND,ND,ND,ND,0.06,ND,10.10,25.00,ND
'Atlanta-Sandy Springs-Roswell,GA',5286728.00,12060.00,2.00,ND,17.00,50.00,0.07,44.00,9.70,22.00,4.00
'Atlantic City-Hammonton,NJ',274549.00,12100.00,ND,ND,ND,ND,0.06,ND,6.40,16.00,1.00
'Augusta-Richmond County,GA-SC',564873.00,12260.00,ND,ND,ND,ND,0.06,58.00,12.10,38.00,59.00
'Augusta-Waterville,ME',122151.00,12300.00,ND,ND,ND,ND,0.06,23.00,6.20,21.00,ND
'Austin-Round Rock,TX',1716289.00,12420.00,1.00,ND,13.00,44.00,0.07,91.00,9.40,21.00,3.00
'Bakersfield,CA',839631.00,12540.00,1.00,ND,23.00,50.00,0.09,242.00,20.00,57.00,ND
'Baltimore-Columbia-Towson,MD',2710489.00,12580.00,1.00,ND,16.00,51.00,0.07,27.00,8.90,21.00,16.00
'Bangor,ME',153923.00,12620.00,ND,ND,ND,ND,0.06,30.00,4.20,14.00,ND
'Baraboo,WI',61976.00,12660.00,ND,ND,ND,ND,0.07,49.00,8.40,26.00,ND
'Barnstable Town,MA',215888.00,12700.00,ND,ND,ND,ND,0.07,ND,ND,ND,ND
'Barre,VT',59534.00,12740.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Bartlesville,OK',50976.00,12780.00,ND,ND,ND,ND,0.06,ND,10.00,35.00,ND
'Baton Rouge,LA',802484.00,12940.00,1.00,0.02,8.00,37.00,0.07,46.00,8.80,19.00,19.00
'Bay City,MI',107771.00,13020.00,ND,ND,ND,ND,ND,ND,6.10,16.00,ND
'Beatrice,NE',22311.00,13100.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Beaumont-Port Arthur,TX',403190.00,13140.00,ND,ND,5.00,29.00,0.07,ND,7.80,18.00,59.00
'Beaver Dam,WI',88759.00,13180.00,0.00,ND,ND,ND,0.07,45.00,8.70,25.00,2.00
'Beckley,WV',124898.00,13220.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Bellingham,WA',201140.00,13380.00,ND,ND,ND,ND,0.05,ND,IN,IN,3.00
'Bemidji,MN',44442.00,13420.00,ND,ND,ND,ND,ND,ND,8.20,46.00,ND
'Bend-Redmond,OR',157733.00,13460.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Bennington,VT',37125.00,13540.00,ND,ND,ND,ND,0.06,ND,6.10,16.00,ND
'Berlin,NH-VT',39361.00,13620.00,ND,ND,ND,ND,0.06,ND,IN,IN,ND
'Big Spring,TX',36238.00,13700.00,ND,ND,ND,ND,ND,ND,ND,ND,IN
'Billings,MT',158934.00,13740.00,ND,ND,ND,ND,ND,ND,10.00,38.00,IN
'Binghamton,NY',251725.00,13780.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Birmingham-Hoover,AL',1128047.00,13820.00,1.00,ND,10.00,42.00,0.06,104.00,12.60,30.00,50.00
'Bishop,CA',3879.00,13860.00,1.00,ND,ND,ND,0.07,262.00,13.40,117.00,1.00
'Bismarck,ND',114778.00,13900.00,1.00,ND,5.00,30.00,0.07,135.00,9.70,47.00,13.00
'Blacksburg-Christiansburg-Radford,VA',178237.00,13980.00,ND,0.01,ND,ND,0.06,ND,ND,ND,99.00
'Bloomington,IL',186133.00,14010.00,ND,ND,ND,ND,0.06,ND,9.30,22.00,ND
'Bloomington,IN',159549.00,14020.00,ND,ND,ND,ND,0.07,ND,8.40,22.00,ND
'Bluefield,WV-VA',107342.00,14140.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Blytheville,AR',46480.00,14180.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Boise City,ID',616561.00,14260.00,1.00,ND,10.00,45.00,0.07,113.00,9.20,37.00,2.00
'Boone,NC',51079.00,14380.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Borger,TX',22150.00,14420.00,ND,ND,ND,ND,ND,ND,ND,ND,209.00
'Boston-Cambridge-Newton,MA-NH',4552402.00,14460.00,1.00,ND,12.00,45.00,0.07,50.00,8.30,18.00,9.00
'Boulder,CO',294567.00,14500.00,ND,ND,ND,ND,0.08,51.00,10.00,54.00,ND
'Bowling Green,KY',158599.00,14540.00,0.00,ND,ND,ND,0.06,ND,9.00,26.00,3.00
'Bozeman,MT',89513.00,14580.00,1.00,ND,2.00,IN,ND,ND,5.70,34.00,ND
'Brainerd,MN',91067.00,14660.00,ND,ND,ND,ND,0.06,ND,13.20,49.00,ND
'Bremerton-Silverdale,WA',251133.00,14740.00,ND,ND,ND,ND,ND,ND,5.20,12.00,ND
'Bridgeport-Stamford-Norwalk,CT',916829.00,14860.00,ND,ND,8.00,41.00,0.09,48.00,8.20,21.00,3.00
'Brookings,SD',31965.00,15100.00,ND,ND,ND,ND,0.07,119.00,6.70,29.00,ND
'Brownsville-Harlingen,TX',406220.00,15180.00,ND,ND,ND,ND,0.06,ND,9.20,24.00,ND
'Brunswick,GA',112370.00,15260.00,ND,ND,ND,ND,0.05,ND,7.70,18.00,IN
'Buffalo-Cheektowaga-Niagara Falls,NY',1135509.00,15380.00,1.00,ND,9.00,45.00,0.07,30.00,7.70,17.00,13.00
'Burlington,NC',151131.00,15500.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Burlington-South Burlington,VT',211261.00,15540.00,1.00,ND,5.00,27.00,0.06,18.00,7.20,20.00,1.00
'Butte-Silver Bow,MT',34200.00,15580.00,ND,ND,ND,ND,ND,107.00,9.70,49.00,ND
'Cadillac,MI',47584.00,15620.00,ND,ND,1.00,7.00,0.06,ND,9.00,19.00,ND
'Cambridge,MD',32618.00,15700.00,ND,ND,ND,ND,0.07,ND,6.40,14.00,2.00
'Cambridge,OH',40087.00,15740.00,ND,ND,ND,ND,ND,ND,ND,ND,35.00
'Cañon City,CO',46824.00,15860.00,ND,ND,ND,ND,ND,39.00,ND,ND,ND
'Canton-Massillon,OH',404422.00,15940.00,ND,0.40,ND,ND,0.07,ND,10.20,24.00,ND
'Cape Coral-Fort Myers,FL',618754.00,15980.00,ND,ND,ND,ND,0.06,54.00,7.30,17.00,ND
'Carlsbad-Artesia,NM',53829.00,16100.00,ND,ND,5.00,31.00,0.08,ND,ND,ND,ND
'Carson City,NV',55274.00,16180.00,ND,ND,ND,ND,0.08,ND,12.00,124.00,ND
'Casper,WY',75450.00,16220.00,ND,ND,5.00,33.00,0.07,IN,4.60,22.00,9.00
'Cedar City,UT',46163.00,16260.00,ND,ND,6.00,35.00,0.07,ND,6.50,21.00,ND
